,Homo_sapiens,Macaca_mulatta,Ailuropoda_melanoleuca,Aotus_nancymaae,Bos_taurus,Callithrix_jacchus,Camelus_dromedarius,Canis_lupus_familiaris,Capra_hircus,Carlito_syrichta,Cavia_porcellus,Ceratotherium_simum_simum,Cercocebus_atys,Chinchilla_lanigera,Chlorocebus_sabaeus,Chrysochloris_asiatica,Condylura_cristata,Cricetulus_griseus,Dasypus_novemcinctus,Dipodomys_ordii,Echinops_telfairi,Elephantulus_edwardii,Eptesicus_fuscus,Equus_caballus,Erinaceus_europaeus,Felis_catus,Galeopterus_variegatus,Gorilla_gorilla_gorilla,Heterocephalus_glaber,Ictidomys_tridecemlineatus,Jaculus_jaculus,Loxodonta_africana,Macaca_fascicularis,Macaca_nemestrina,Mandrillus_leucophaeus,Manis_javanica,Mesocricetus_auratus,Microcebus_murinus,Microtus_ochrogaster,Miniopterus_natalensis,Monodelphis_domestica,Mus_musculus,Mustela_putorius_furo,Nannospalax_galili,Nomascus_leucogenys,Ochotona_princeps,Octodon_degus,Odobenus_rosmarus_divergens,Orcinus_orca,Oryctolagus_cuniculus,Otolemur_garnettii,Ovis_aries,Pan_paniscus,Pan_troglodytes,Papio_anubis,Pongo_abelii,Propithecus_coquereli,Pteropus_vampyrus,Rattus_norvegicus,Rhinopithecus_roxellana,Rousettus_aegyptiacus,Saimiri_boliviensis_boliviensis,Sarcophilus_harrisii,Sorex_araneus,Sus_scrofa,Trichechus_manatus_latirostris,Tupaia_chinensis,Tursiops_truncatus
ADGRG1,NM_005682.6,XM_015126166.1,xm_011220665.1,XM_012447875.1,NM_001083656.1,XM_008985945.2,xm_010985727.1,XM_005617518.2,XM_005692028.3,xm_008068024.1,XM_013154785.1,xm_014788580.1,XM_012064933.1,XM_013516239.1,xm_007993464.1,xm_006863622.1,XM_012730669.1,XM_003509803.3,XM_004468512.2,xm_013027958.1,XM_004704873.1,xm_006878924.1,xm_008152298.1,XM_001494122.5,XM_016186863.1,xm_006941545.1,xm_008574832.1,xm_004057714.1,XM_013071616.1,XM_013366342.1,XM_004663512.1,xm_010596059.1,XM_015443117.1,XM_011758055.1,XM_011971823.1,XM_017675657.1,XM_013119473.1,XM_012743976.1,XM_013354311.1,XM_016206522.1,XM_007477560.2,XM_006530697.2,XM_013052155.1,XM_017798625.1,XM_012504623.1,XM_004583889.1,XM_004625947.1,XM_004395779.1,XM_004264930.2,XM_017342249.1,XM_003792578.2,XM_012094993.1,XM_003823733.2,XM_016928563.1,XM_009196529.2,nm_001131373.1,XM_012647857.1,xm_011360093.1,NM_152242.2,xm_010365494.1,XM_016151444.1,xm_010331346.1,XM_012540705.1,XM_004600941.1,NM_001243056.1,xm_004371667.1,XM_006148431.2,xm_004318180.1
ADGRG2,NM_001079858.2,XM_015127033.1,xm_002913936.2,XM_012434094.1,XM_015470574.1,XM_002762687.4,xm_010987431.1,XM_548883.5,XM_018043947.1,xm_008065459.1,XM_003466385.2,xm_014791142.1,XM_012035721.1,XM_005414435.2,xm_007991193.1,xm_006835680.1,XM_012730352.1,XM_007640257.2,XM_004450330.2,XM_013026533.1,XM_004709929.1,xm_006893800.1,xm_008154583.1,XM_005614029.2,XM_007538764.2,xm_006943605.1,xm_008579930.1,xm_004063874.1,XM_013066050.1,XM_005341140.1,XM_004667910.1,xm_003415956.1,XM_005593111.2,XM_011735279.1,XM_011995802.1,XM_017676946.1,XM_013116422.1,XM_012784677.1,XM_013350575.1,XM_016199357.1,XM_007500817.2,NM_178712.4,XM_004758972.1,XM_017798851.1,XM_012500945.1,XM_004597501.2,XM_004635095.1,XM_012562751.1,XM_004286232.1,XM_017349824.1,XM_003791878.1,XM_015104818.1,XM_008972946.2,XM_016943197.1,XM_009197284.1,xm_009234638.1,XM_012651688.1,xm_011363009.1,NM_181366.2,xm_010389061.1,XM_016147008.1,xm_003924120.2,XM_012546045.1,XM_012933580.1,XM_013985968.1,xm_004382825.1,XM_014591375.1,xm_004320748.1
ADGRG3,NM_170776.4,XM_001100303.3,xm_011220467.1,XM_012447873.1,XM_010823563.2,XM_008985951.2,xm_010985722.1,XM_005617515.2,XM_018063154.1,xm_008068023.1,XM_013154987.1,xm_014788418.1,XM_012065009.1,XM_005388403.2,xm_007993467.1,xm_006863623.1,XM_004690245.2,XM_007612160.1,XM_012529025.1,XM_013012805.1,XM_004704872.1,xm_006878923.1,xm_008152295.1,XM_005608288.1,XM_007520127.1,xm_003998100.3,xm_008575113.1,xm_004057715.1,XM_004843154.2,XM_013365365.1,XM_012949870.1,xm_010596146.1,XM_005592057.2,XM_011758054.1,XM_011971820.1,XM_017675662.1,XM_005078626.2,XM_012743989.1,XM_013354154.1,XM_016206537.1,,NM_173036.3,XM_004744258.1,XM_008834929.2,XM_012504863.1,XM_004584133.1,XM_012513562.1,XM_012560794.1,XM_004265067.2,XM_008257340.2,XM_012806813.1,XM_012189833.2,XM_003823738.2,XM_016929903.1,XM_009196572.2,xm_002826471.2,XM_012647858.1,xm_011360168.1,XM_006255126.3,xm_010365496.1,XM_016151457.1,xm_003943497.2,XM_012540712.1,XM_004600940.1,XM_013998209.1,xm_004371666.1,XM_006148477.2,xm_004318181.1
ADGRG4,NM_153834.3,XM_015128229.1,xm_011225841.1,XM_012472323.1,XM_010821475.1,XM_002807917.3,xm_010997507.1,XM_549283.3,XM_018044067.1,xm_008070225.1,XM_003464729.1,xm_004441654.1,XM_012075024.1,XM_005404615.1,xm_007992818.1,xm_006874718.1,XM_004685957.1,XM_007640576.1,XM_012524746.1,XM_013018051.1,XM_004713396.1,xm_006881892.1,xm_008159149.1,XM_003365854.1,XM_007534529.2,xm_011279495.1,xm_008581332.1,xm_004064935.1,XM_004862354.1,XM_005325194.1,XM_004653809.1,xm_010600046.1,XM_015444345.1,XM_011740908.1,XM_011994408.1,XM_017659086.1,XM_005084537.1,XM_012752310.1,XM_005358535.1,XM_016216535.1,xm_016426564.1,XM_003085259.2,XM_004773685.1,XM_008840711.1,XM_003272569.3,XM_004587797.1,XM_004643180.1,XM_004410489.1,XM_004278747.1,XM_008273276.1,XM_003802663.2,,XM_003812326.1,XM_016942790.1,XM_003918335.2,xm_002832161.1,XM_012655472.1,xm_011382428.1,xm_006227597.3,xm_010389108.1,XM_016127491.1,xm_003940739.2,xm_012546045.1,XM_004606657.1,XM_005674567.1,xm_004380967.1,XM_006160723.1,xm_004317207.1
ADGRG5,NM_153837.3,XM_015126251.1,xm_011220401.1,XM_012447971.1,NM_001206716.1,XM_008985937.2,xm_010985730.1,XM_005617521.2,XM_013971049.2,xm_008068045.1,XM_003471965.2,xm_004431845.1,XM_012064812.1,XM_013516256.1,xm_007993452.1,xm_006863621.1,XM_012730593.1,XM_016965492.1,XM_012529024.1,XM_013027993.1,XM_013005193.1,xm_006897143.1,xm_008152358.1,XM_005608284.2,XM_007520129.1,xm_006941542.1,xm_008574806.1,xm_004057708.1,XM_004843242.1,XM_013365827.1,XM_012949871.1,xm_010596147.1,XM_015442728.1,XM_011762076.1,XM_011971834.1,XM_017676849.1,XM_013119465.1,XM_012751410.1,XM_005345584.1,XM_016206576.1,,XM_017312886.1,XM_013052151.1,XM_008834887.2,XM_003263103.3,XM_004584132.1,XM_004626050.1,XM_012560795.1,XM_004265066.2,XM_017342244.1,XM_012806812.1,XM_015100451.1,XM_003823739.3,XM_016929902.1,XM_009196519.2,xm_002826468.2,XM_012647849.1,xm_011360094.1,XM_008772306.2,xm_010365489.1,XM_016151481.1,xm_010331345.1,XM_012540699.1,XM_004600942.1,XM_013988532.1,xm_004371668.2,XM_006148427.2,xm_004313226.1
ADGRG6,NM_020455.5,XM_015137235.1,xm_011220823.1,XM_012474508.1,XM_005199421.3,XM_017971439.1,xm_010983701.1,XM_005615460.2,XM_018053276.1,xm_008061306.1,XM_013147989.1,xm_014796516.1,XM_012091485.1,XM_005389253.2,xm_008006828.1,xm_006834705.1,XM_012723109.1,XM_007639800.2,XM_012522744.1,XM_013026918.1,XM_013004446.1,xm_006891667.1,xm_008161817.1,XM_005608218.2,XM_016189484.1,xm_006932061.2,xm_008566243.1,xm_004044768.1,XM_013072710.1,XM_013362642.1,XM_004651155.1,xm_010588758.1,XM_005551996.2,XM_011714322.1,XM_011997172.1,XM_017674921.1,XM_013126847.1,xm_012745393.1,XM_005361024.1,XM_016223939.1,XM_007484642.2,XM_017313881.1,XM_004752733.2,XM_017797326.1,XM_012505932.1,XM_004587345.1,XM_004628547.1,XM_004397024.1,XM_004263759.2,XM_002714851.3,XM_003790277.1,XM_004011385.3,XM_003827716.3,XM_001172117.4,XM_009205975.2,xm_009242340.1,XM_012655523.1,xm_011356229.1,XM_218313.9,xm_010354968.1,XM_016132693.1,xm_010337551.1,XM_012549372.1,XM_004609069.2,xm_013992514.1,xm_004368866.2,xm_014588839.1,xm_004318877.1
ADGRG7,NM_032787.2,XM_001094038.2,xm_002917089.2,XM_012476901.1,NM_001083702.1,XM_002758880.3,xm_010978460.1,XM_545075.4,XM_005674854.2,xm_008069150.1,XM_003469245.2,xm_004439975.2,XM_012085009.1,XM_005386303.2,xm_007986039.1,xm_006868649.1,XM_004675475.1,XM_007645375.2,XM_012519933.1,XM_013024094.1,XM_004706454.1,xm_006890040.1,xm_008159659.1,XM_001502146.2,XM_007537842.1,xm_011286016.1,xm_008570345.1,xm_004035979.1,XM_004858008.2,XM_005335078.1,XM_004670436.2,xm_010598622.1,XM_005548295.2,XM_011733999.1,XM_011999894.1,XM_017674871.1,XM_005076776.2,xm_012743134.1,XM_005344953.1,XM_016199731.1,XM_016433188.1,NM_172825.3,XM_004771944.2,XM_008848489.1,XM_003261739.1,XM_004593257.1,XM_004636624.1,XM_012568124.1,XM_004272652.1,XM_002716610.3,XM_012812734.1,XM_004002884.3,XM_003821915.1,XM_016941550.1,XM_009199199.2,xm_002813349.3,XM_012652823.1,xm_011355735.1,NM_001107098.1,xm_010368845.1,XM_016144693.1,xm_003943551.2,,XM_004606820.1,XM_013982484.1,xm_004378165.1,XM_006143565.1,
ADGRL1,NM_001008701.2,XM_015123128.1,xm_011227238.1,XM_012457812.1,XM_010806699.2,XM_017967290.1,xm_010993845.1,XM_005632793.2,XM_018051187.1,xm_008063735.1,XM_003461794.3,xm_014796882.1,XM_012094142.1,XM_005381088.2,xm_007996095.1,xm_006874288.1,XM_012729046.1,XM_003501910.1,XM_012524943.1,XM_013034200.1,XM_013007946.1,xm_006900770.1,xm_008157902.1,XM_014741400.1,XM_016192258.1,xm_003981939.2,xm_008566022.1,xm_004060161.1,XM_004872473.2,XM_005336246.1,XM_012952209.1,xm_010593270.1,XM_005588231.2,XM_011769701.1,XM_011981782.1,XM_017670716.1,XM_005087557.2,XM_012758415.1,XM_013355080.1,XM_016222198.1,XM_007489148.1,XM_006531122.2,XM_004748236.1,XM_008855410.2,XM_012509604.1,XM_004595566.1,XM_004635528.1,XM_004398983.2,XM_012535871.1,XM_002724222.3,XM_012810238.1,XM_015095610.1,XM_003814860.2,XM_016935289.1,XM_003915036.3,xm_009252885.1,XM_012641470.1,xm_011384490.1,NM_022962.1,xm_010361581.1,XM_016162109.1,xm_010352489.1,XM_003760657.2,XM_004616627.2,XM_013994669.1,xm_004389710.1,XM_006161050.2,xm_004328494.1
ADGRL2,NM_012302.3,XM_015143426.1,xm_002929120.2,XM_012442645.1,NM_181013.1,XM_002751004.3,xm_010991636.1,XM_014114407.1,XM_005678182.3,xm_008056457.1,XM_005007923.2,xm_014788318.1,XM_012076899.1,XM_013514480.1,xm_007978189.1,xm_006831011.1,XM_012722494.1,XM_007640357.2,XM_012523056.1,XM_013018341.1,XM_004699299.2,xm_006888580.1,xm_008139464.1,XM_014740029.1,XM_016189817.1,xm_011284907.1,xm_008568346.1,xm_004026028.1,XM_013070934.1,XM_005334086.2,XM_004653645.1,xm_003411217.2,XM_005542925.2,XM_011742983.1,XM_011977774.1,XM_017653628.1,XM_013123223.1,XM_012747852.1,XM_013350096.1,XM_016220632.1,XM_007480643.1,XM_006502440.3,XM_013059197.1,XM_008826219.2,XM_003260242.2,XM_004582203.2,XM_004639304.2,XM_004411119.2,XM_004285822.2,XM_002715897.3,XM_012801732.1,XM_012174595.2,XM_003817345.3,XM_009459522.2,XM_003892109.3,xm_002810676.2,XM_012661142.1,xm_011355556.1,NM_001302212.1,xm_010380432.1,XM_016145395.1,xm_010347157.1,XM_012547606.1,XM_004603326.2,XM_005656127.2,xm_004369090.2,XM_006157298.2,xm_004319316.1
ADGRL3,NM_015236.5,XM_015138602.1,xm_011227467.1,XM_012453258.1,XM_015471643.1,XM_017970523.1,xm_010983391.1,XM_005628240.2,XM_018049501.1,xm_008073103.1,XM_013154266.1,xm_004419097.1,XM_012077430.1,XM_005392857.2,xm_007998600.1,xm_006873416.1,XM_012724115.1,XM_007611313.1,XM_012524502.1,XM_013009168.1,XM_013005590.1,xm_006891975.1,xm_008140386.1,XM_014738772.1,XM_007527362.2,xm_011281861.1,xm_008573340.1,xm_004038726.1,XM_004849671.2,XM_013361327.1,XM_012950360.1,xm_010595701.1,XM_015450413.1,XM_011710778.1,XM_011973978.1,XM_017648916.1,XM_013112016.1,XM_012767362.1,XM_013350831.1,XM_016201636.1,XM_007496392.2,XM_011249465.2,XM_013062351.1,XM_008833272.2,XM_012499610.1,XM_012928619.1,XM_012517391.1,XM_012560494.1,XM_004268356.1,XM_017347535.1,XM_012810361.1,XM_015096260.1,XM_014344670.1,XM_016951660.1,XM_017958798.1,xm_009239970.1,XM_012653972.1,xm_011360677.1,XM_008769975.2,xm_010358026.1,XM_016153126.1,xm_010344119.1,XM_012552232.1,XM_012934485.1,xm_013978743.1,xm_012559546.1,XM_014586939.1,xm_004317049.1
ADGRL4,NM_022159.3,XM_001100419.3,xm_002921750.2,XM_012442763.1,NM_001076908.2,XM_009001541.1,xm_010991635.1,XM_005622024.1,XM_013962706.2,xm_008068603.1,XM_003478805.3,xm_014788310.1,XM_012082100.1,XM_005385180.2,xm_007978197.1,xm_006831014.1,XM_012722036.1,XM_003496431.3,XM_004455871.2,XM_013018370.1,XM_004699302.1,xm_006888583.1,xm_008139463.1,XM_005610471.2,XM_007530161.2,xm_003990250.3,xm_008589864.1,xm_004026025.1,XM_013070940.1,XM_005330711.2,XM_004653747.1,xm_003411218.1,xm_015450421.1,XM_011742952.1,XM_011977771.1,XM_017657780.1,XM_005083633.1,XM_012787259.1,XM_005357490.2,XM_016216819.1,XM_001362822.3,NM_133222.3,XM_004758130.2,XM_017796411.1,XM_003260239.3,XM_004582204.2,XM_004643177.1,XM_004413486.1,XM_004279932.1,XM_002715900.3,XM_003784209.2,XM_004002105.3,XM_003817342.2,XM_001155188.5,XM_003892108.2,xm_009235537.1,XM_012661032.1,xm_011355552.1,NM_022294.1,xm_010356581.1,XM_016151007.1,xm_010347185.1,XM_012547608.1,XM_004603329.1,XM_005665360.2,xm_004369088.1,XM_006146087.2,xm_004316236.1
ADGRV1,NM_032119.3,XM_015140403.1,xm_002913612.2,XM_012477506.1,XM_015464373.1,XM_017965412.1,xm_010997244.1,XM_014112224.1,XM_018050044.1,xm_008061062.1,XM_013143248.1,xm_004420372.2,XM_012089415.1,XM_013512957.1,xm_007978103.1,xm_006875701.1,XM_004678139.1,XM_007629795.2,XM_004470657.2,XM_013015810.1,XM_004703646.1,xm_006885387.1,xm_008162090.1,XM_001918337.3,XM_016186350.1,xm_011284978.1,xm_008580425.1,xm_004042265.1,XM_013071166.1,XM_005315941.1,XM_012952433.1,xm_003404981.2,XM_005557361.2,XM_011758724.1,XM_011978020.1,xm_017654768.1,XM_005065518.2,XM_012781499.1,XM_013349650.1,XM_016216159.1,XM_001366741.3,NM_054053.4,XM_004759095.2,XM_008829347.2,XM_003261601.1,XM_004586299.2,XM_004644067.1,XM_012563387.1,XM_004263660.1,XM_017344593.1,XM_012802802.1,XM_012178944.2,XM_003822773.1,XM_517658.5,XM_017959366.1,xm_002815730.3,XM_012644750.1,xm_011379001.1,XM_017591161.1,xm_010373450.1,XM_016145029.1,xm_003920760.2,XM_003759849.1,XM_012933741.1,XM_013991533.1,xm_012555159.1,XM_014590910.1,xm_004330199.1
AGTR1,NM_000685.4,XM_001110548.3,XM_002927034.2,XM_012437150.1,NM_174233.2,XM_008983695.1,XM_010980570.1,XM_005634552.2,XM_018049126.1,XM_008072978.1,XM_013159551.1,xm_004419272.2,XM_012063858.1,XM_005401426.2,XM_008008781.1,XM_006874391.1,XM_004682125.2,xm_016980923.1,XM_004460550.1,XM_013029937.1,XM_004708530.1,XM_006895558.1,XM_008159008.1,XM_005600972.2,XM_007518067.2,XM_003992030.3,XM_008581288.1,XM_004037815.1,XM_004834413.1,XM_005325721.2,xm_004663635.2,XM_003416165.2,XM_005546047.2,XM_011721748.1,XM_011972799.1,XM_017647113.1,xm_013110523.1,XM_012782822.1,xm_005354999.2,XM_016221786.1,XM_016425243.1,XM_011244264.2,XM_004754445.2,xm_008836682.2,XM_003256237.3,XM_004598810.2,XM_004629199.1,XM_012564286.1,XM_004278198.2,XM_008266173.2,XM_003789468.2,NM_001009744.1,XM_008951889.1,NM_001071793.2,XM_017955801.1,XM_002814156.2,XM_012642950.1,XM_011364429.1,XM_008760879.2,XM_010375055.1,XM_016150087.1,XM_010335789.1,XM_003766096.1,XM_004602923.1,XM_003132469.3,xm_004379205.2,XM_006150909.2,xm_004324673.1
AGTR2,NM_000686.4,XM_001104306.2,XM_002916074.2,XM_012476504.1,XM_001249373.5,XM_002763185.2,XM_010985846.1,XM_005641714.2,XM_013976225.2,XM_008055676.1,XM_005008515.1,xm_014796628.1,XM_012087638.1,XM_013507702.1,XM_008019520.1,XM_006872118.1,XM_004685728.1,XM_007612641.2,,XM_013019784.1,XM_004710086.1,XM_006893757.1,XM_008160200.1,XM_001488224.4,XM_007535140.1,XM_004000817.2,XM_008574540.1,XM_004064752.1,XM_004875220.1,XM_005319400.1,XM_004659109.1,XM_010594675.1,XM_005594423.1,XM_011718473.1,XM_011977121.1,XM_017644764.1,XM_005087299.2,XM_012791014.1,XM_005369532.1,XM_016221255.1,XM_007507525.2,XM_006527555.1,XM_004762115.2,XM_008851885.2,XM_003262231.1,XM_004587621.1,XM_012513399.1,XM_004408198.1,XM_004285102.1,NM_001082638.1,,XM_012107488.1,XM_003819008.1,XM_001148478.3,XM_003893582.3,XM_002832026.1,XM_012653887.1,XM_011386575.1,XM_006257432.3,XM_010375437.1,XM_016159011.1,XM_010341689.1,,XM_004614474.1,XM_005673847.2,xm_004379793.1,XM_006170614.2,XM_004327499.1
BDKRB1,NM_000710.3,XM_015144459.1,XM_011216867.1,XM_012471283.1,NM_001109999.1,XM_009006515.2,XM_010987665.1,NM_001014284.1,XM_018066143.1,XM_008052246.1,,xm_004434245.2,XM_012083880.1,XM_005390373.1,XM_007987762.1,XM_006878206.1,XM_012724700.1,XM_007630966.2,XM_004481325.2,XM_013014981.1,XM_004699104.1,XM_006879188.1,XM_008154789.1,XM_005605431.2,XM_007529098.1,xm_006933087.2,XM_008590485.1,XM_004055661.1,XM_004837013.1,XM_013362226.1,XM_004665547.1,XM_003408856.1,XM_015453260.1,xm_011717066.1,XM_011991668.1,xm_017662856.1,XM_005139231.2,XM_012791044.1,XM_005343520.1,XM_016201005.1,,NM_007539.2,xm_013057424.1,XM_017796199.1,XM_003275358.2,XM_004584538.1,XM_004635178.1,XM_004416489.2,XM_012531326.1,NM_001082347.1,XM_003787022.2,xm_012107886.1,XM_003832841.2,XM_003314510.4,XM_009212210.2,XM_002825079.2,XM_012650088.1,XM_011370207.1,NM_030851.1,XM_010353687.1,xm_016159862.1,XM_003928835.2,,XM_004619586.2,xm_013978407.1,xm_004376700.1,XM_006159963.2,XM_004332167.1
BDKRB2,NM_000623.3,XM_015144458.1,XM_011216868.1,XM_012471279.1,NM_001192126.1,XM_002754262.3,XM_010987658.1,XM_005623175.2,XM_018066142.1,XM_008052237.1,XM_013144371.1,xm_004434372.2,XM_012083879.1,XM_005390374.1,XM_007987761.1,XM_006839617.1,XM_004681588.2,XM_003503269.1,XM_004481326.2,XM_013014695.1,XM_004698784.1,XM_006879089.1,XM_008154790.1,XM_001489272.3,XM_007529100.2,xm_006933086.2,XM_008594849.1,XM_004055663.1,XM_004837012.2,XM_005333896.1,XM_004665608.1,XM_010588927.1,XM_015454196.1,xm_011717065.1,XM_011991665.1,xm_017662854.1,XM_005068352.2,XM_012791042.1,XM_005343519.1,XM_016201015.1,,XM_006515442.3,XM_004754733.2,XM_008825657.2,XM_003275357.3,XM_004584309.1,XM_004635177.1,XM_004416490.1,XM_004262494.2,XM_008249377.2,XM_003787021.1,XM_015102040.1,XM_008958283.2,XM_009428414.2,XM_009212209.1,XM_009249464.1,XM_012650087.1,XM_011370210.1,NM_173100.2,XM_010353690.1,xm_016159869.1,XM_003928832.2,,XM_004619585.1,XM_005666427.2,xm_004376788.2,XM_006159962.2,XM_004329751.1
BRS3,NM_001727.1,NM_001032902.1,XM_002919924.1,XM_012472292.1,NM_001205612.1,XM_003735830.3,XM_010997500.1,XM_849676.3,XM_005700421.2,XM_008070216.1,NM_001172921.1,xm_004441629.2,XM_012074969.1,XM_005404590.2,XM_007992820.1,XM_006874707.1,XM_004685841.1,XM_003499816.1,XM_004457499.1,XM_013018113.1,XM_004713395.1,XM_006881822.1,XM_008159140.1,XM_001490134.1,XM_007534528.1,,XM_008586752.1,XM_004064936.1,XM_004862353.1,XM_005325176.1,XM_004653999.1,XM_003420509.2,XM_005594701.2,XM_011740907.1,XM_011994410.1,XM_017659089.1,XM_005084518.2,XM_012756351.1,XM_005358496.1,XM_016216541.1,XM_007507343.2,NM_009766.3,XM_004773661.2,XM_008840700.2,XM_003272570.2,XM_004587741.2,XM_004643157.2,XM_004410480.1,XM_004278729.1,XM_002720325.2,XM_003802654.1,NM_001009215.1,XM_003812325.1,XM_001137541.4,XM_003918340.3,XM_002832162.2,XM_012655473.1,XM_011382412.1,NM_152845.1,XM_010389107.1,XM_016127492.1,XM_003940738.1,XM_003774851.2,XM_004606548.1,XM_003360456.2,xm_004380948.1,XM_006160706.1,XM_004330474.1
CALCR,NM_001742.3,XM_015134267.1,XM_011223658.1,XM_012450900.1,NM_001076269.2,XM_017975726.1,XM_010979670.1,NM_001197142.1,XM_018047421.1,XM_008064260.1,NM_001172924.1,xm_004431350.2,XM_012073872.1,XM_005388037.2,XM_007982144.1,XM_006834291.1,XM_004676687.1,XM_007609763.2,XM_004475695.1,XM_013026026.1,XM_004702811.2,XM_006891498.1,XM_008149037.1,XM_001493688.3,XM_007522495.2,XM_003982757.2,XM_008571574.1,XM_004045752.1,XM_004862684.2,XM_005340531.2,XM_004656223.2,XM_003407144.1,XM_005550212.2,XM_011730844.1,XM_011998260.1,XM_017665481.1,XM_013122663.1,XM_012779651.1,XM_013352429.1,XM_016218912.1,,XM_006504973.2,XM_013047850.1,XM_008822553.2,XM_003252483.2,XM_004582302.2,XM_004646253.1,XM_004394086.2,XM_004265594.2,XM_008261488.1,XM_003782672.2,XM_015095187.1,XM_003809722.1,XM_001168038.3,XM_009203403.1,XM_002818253.1,XM_012647559.1,XM_011363602.1,NM_001034015.1,XM_010353149.1,xm_016138503.1,XM_010345383.1,,XM_004602183.2,NM_214354.2,xm_004389658.2,XM_006163494.2,xm_004325681.1
CALCRL,NM_005795.5,XM_015110510.1,XM_002928184.2,XM_012464078.1,NM_001102107.1,XM_003733201.3,XM_010991765.1,XM_014110792.1,XM_005675874.3,XM_008073811.1,XM_003478784.3,xm_004426715.2,XM_012047219.1,XM_005373333.2,XM_007965579.1,XM_006864031.1,XM_012725768.1,XM_016970874.1,XM_012519019.1,XM_013029848.1,XM_004701723.1,XM_006878768.1,XM_008146577.1,XM_001501668.5,XM_007529548.2,XM_011285419.1,XM_008572988.1,XM_004032933.1,XM_004872313.2,XM_005324393.2,XM_004660271.1,XM_010586377.1,XM_015432465.1,XM_011718356.1,XM_012000076.1,XM_017663182.1,XM_013121689.1,XM_012779475.1,XM_005346657.2,XM_016213272.1,XM_016433737.1,XM_006499918.3,XM_004763342.2,XM_008826749.2,XM_003253830.2,XM_004576988.2,XM_004628631.1,XM_004392385.1,XM_004276919.1,XM_008258822.2,XM_003801027.2,XM_012131538.2,XM_003823511.2,XM_515970.5,XM_003907710.3,NM_001131732.1,XM_012663634.1,XM_011356414.1,XM_006234438.3,XM_010370308.1,XM_016150814.1,XM_010351591.1,XM_003764037.2,XM_004601213.1,XM_013984331.1,xm_004385595.1,XM_006147848.2,xm_004327796.1
CASR,NM_000388.3,XM_015129990.1,XM_002927224.1,XM_012476238.1,XM_010801164.2,XM_002807613.4,XM_010981542.1,XM_014110143.1,XM_018059989.1,XM_008052989.1,XM_005008510.2,xm_014792202.1,XM_012068521.1,XM_013515042.1,XM_007985614.1,XM_006869420.1,XM_004675167.1,XM_003501103.2,XM_004467173.2,XM_013019372.1,XM_004712227.1,XM_006884238.1,XM_008146664.1,NM_001163978.1,XM_007536526.2,NM_001164654.1,XM_008591142.1,XM_004036168.1,XM_013068820.1,XM_005327660.1,XM_012950746.1,XM_003412965.2,XM_015446366.1,XM_011722127.1,XM_011971579.1,XM_017676781.1,XM_013114439.1,XM_012780505.1,XM_005345082.1,XM_016200113.1,XM_001371530.3,NM_013803.3,XM_013052685.1,XM_008842933.1,XM_003275518.2,XM_004577851.1,XM_004648888.2,XM_004391952.1,XM_004278558.2,XM_017347060.1,XM_003795080.1,XM_004002971.3,XM_008950488.2,XM_516689.5,XM_009200094.2,XM_002813225.2,XM_012640587.1,XM_011371111.1,XM_017597871.1,XM_010370530.1,XM_016120059.1,XM_003941648.2,XM_003763628.1,XM_004606678.1,XM_005654038.2,xm_004373633.1,XM_014593205.1,XM_004329773.1
CELSR1,NM_014246.1,XM_015150583.1,XM_011229404.1,XM_012449504.1,XM_015463656.1,XM_008980323.2,XM_010983612.1,XM_014117418.1,XM_018048918.1,XM_008048820.1,XM_013158627.1,xm_014793350.1,XM_012062522.1,XM_013511387.1,XM_007976111.1,XM_006866887.1,xm_012730093.1,XM_007621023.2,XM_012519454.1,XM_013025720.1,XM_013004029.1,XM_006888122.1,XM_008155462.1,XM_014736972.1,XM_007522468.2,XM_011284343.1,xm_008589006.1,XM_004063662.1,XM_004845379.2,XM_005335038.2,XM_004650392.1,xm_010600467.1,XM_015456964.1,XM_011754898.1,XM_011984071.1,XM_017675578.1,XM_013111203.1,XM_012756960.1,XM_013348861.1,xm_016216318.1,XM_016425403.1,NM_009886.2,XM_004775466.2,XM_017801020.1,XM_012507588.1,XM_004589712.1,XM_004642464.1,XM_004415831.1,XM_004279656.1,XM_017339388.1,XM_003783422.2,xm_015094011.1,XM_014343343.1,XM_016939422.1,XM_017945516.1,XM_009234491.1,XM_012655575.1,XM_011380731.1,XM_006242167.3,XM_010380366.1,XM_016126719.1,XM_010343562.1,XM_012550367.1,XM_004622836.1,XM_013988186.1,xm_004380065.1,XM_006164654.2,xm_004328265.1
